Order,Species,Ontology,GOBPI,Pvalue,OddsRatio,ExpCount,Count,Size,Term
1,V. destructor,BP,GO:0007420,0.002513631,13.37371134,0.282965478,3,100,brain development
2,V. destructor,BP,GO:0060322,0.002735122,12.965,0.291454443,3,103,head development
3,V. destructor,BP,GO:0009612,0.003529888,26.95384615,0.090548953,2,32,response to mechanical stimulus
4,V. destructor,BP,GO:0006909,0.004213741,24.48951049,0.099037917,2,35,phagocytosis
5,V. destructor,BP,GO:0007417,0.005170737,10.23809524,0.365025467,3,129,central nervous system development
6,V. destructor,BP,GO:0030900,0.005213533,21.82536383,0.110356537,2,39,forebrain development
7,V. destructor,BP,GO:0098868,0.005651835,377.5,0.00565931,1,2,bone growth
8,V. destructor,BP,GO:0003416,0.005651835,377.5,0.00565931,1,2,endochondral bone growth
9,V. destructor,BP,GO:0003417,0.005651835,377.5,0.00565931,1,2,growth plate cartilage development
10,V. destructor,BP,GO:0048570,0.005651835,377.5,0.00565931,1,2,notochord morphogenesis
11,V. destructor,BP,GO:0048511,0.008465492,16.78846154,0.141482739,2,50,rhythmic process
12,V. destructor,BP,GO:0030097,0.008465492,16.78846154,0.141482739,2,50,hemopoiesis
13,V. destructor,BP,GO:0009083,0.008466559,188.7142857,0.008488964,1,3,branched-chain amino acid catabolic process
14,V. destructor,BP,GO:0048534,0.009133611,16.11076923,0.147142049,2,52,hematopoietic or lymphoid organ development
15,V. destructor,BP,GO:0007568,0.00947632,15.7918552,0.149971703,2,53,aging
16,V. destructor,BP,GO:0002520,0.00947632,15.7918552,0.149971703,2,53,immune system development
17,V. destructor,BP,GO:0009628,0.011638079,7.523529412,0.489530277,3,173,response to abiotic stimulus
18,V. destructor,BP,GO:0060537,0.011651737,14.11336032,0.166949632,2,59,muscle tissue development
19,V. destructor,BP,GO:0007517,0.012033883,13.86737401,0.169779287,2,60,muscle organ development
20,V. destructor,BP,GO:0043010,0.012814686,13.4,0.175438596,2,62,camera-type eye development
21,V. destructor,BP,GO:0007409,0.013617302,12.96277916,0.181097906,2,64,axonogenesis
22,V. destructor,BP,GO:0032757,0.014073711,94.32142857,0.014148274,1,5,positive regulation of interleukin-8 production
23,V. destructor,BP,GO:0032677,0.014073711,94.32142857,0.014148274,1,5,regulation of interleukin-8 production
24,V. destructor,BP,GO:0032637,0.014073711,94.32142857,0.014148274,1,5,interleukin-8 production
25,V. destructor,BP,GO:0060700,0.014073711,94.32142857,0.014148274,1,5,regulation of ribonuclease activity
26,V. destructor,BP,GO:0070370,0.014073711,94.32142857,0.014148274,1,5,cellular heat acclimation
27,V. destructor,BP,GO:0060699,0.014073711,94.32142857,0.014148274,1,5,regulation of endoribonuclease activity
28,V. destructor,BP,GO:1902380,0.014073711,94.32142857,0.014148274,1,5,positive regulation of endoribonuclease activity
29,V. destructor,BP,GO:0030903,0.014073711,94.32142857,0.014148274,1,5,notochord development
30,V. destructor,BP,GO:0031400,0.016594836,11.63210702,0.20090549,2,71,negative regulation of protein modification process
31,V. destructor,BP,GO:0035902,0.016866176,75.44285714,0.016977929,1,6,response to immobilization stress
32,V. destructor,BP,GO:0098974,0.016866176,75.44285714,0.016977929,1,6,postsynaptic actin cytoskeleton organization
